0.255000,0.018464,-0.050359,-0.025393,0.038446,0.047639,0.039025,-0.046113,0.139526,-0.379379,-0.196478,0.288985,0.353419,0.293228,-0.345327
0.260000,0.019168,-0.052272,-0.026384,0.039903,0.049420,0.040503,-0.047854,0.141945,-0.385883,-0.200169,0.293899,0.359136,0.298207,-0.351118
0.265000,0.019883,-0.054217,-0.027394,0.041385,0.051230,0.042007,-0.049624,0.144351,-0.392350,-0.203855,0.298784,0.364807,0.303156,-0.356872
0.270000,0.020611,-0.056195,-0.028423,0.042891,0.053068,0.043535,-0.051423,0.146746,-0.398782,-0.207534,0.303640,0.370431,0.308076,-0.362587
0.275000,0.021351,-0.058205,-0.029470,0.044421,0.054935,0.045087,-0.053250,0.149128,-0.405178,-0.211207,0.308467,0.376008,0.312966,-0.368265
0.280000,0.022102,-0.060247,-0.030535,0.045975,0.056828,0.046664,-0.055105,0.151497,-0.411538,-0.214874,0.313265,0.381538,0.317826,-0.373906
0.285000,0.022866,-0.062320,-0.031618,0.047553,0.058750,0.048266,-0.056989,0.153855,-0.417862,-0.218535,0.318034,0.387022,0.322657,-0.379508
0.290000,0.023641,-0.064426,-0.032720,0.049156,0.060699,0.049891,-0.058900,0.156200,-0.424150,-0.222190,0.322774,0.392459,0.327458,-0.385073
0.295000,0.024428,-0.066562,-0.033840,0.050781,0.062674,0.051540,-0.060839,0.158534,-0.430402,-0.225838,0.327485,0.397850,0.332229,-0.390600
0.300000,0.025226,-0.068729,-0.034979,0.052430,0.064677,0.053213,-0.062806,0.160855,-0.436618,-0.229480,0.332167,0.403194,0.336971,-0.396089
0.305000,0.026036,-0.070928,-0.036135,0.054103,0.066706,0.054910,-0.064800,0.163164,-0.442798,-0.233116,0.336820,0.408491,0.341683,-0.401541
0.310000,0.026858,-0.073157,-0.037310,0.055798,0.068762,0.056630,-0.066821,0.165460,-0.448942,-0.236746,0.341444,0.413741,0.346366,-0.406955
0.315000,0.027691,-0.075417,-0.038503,0.057517,0.070844,0.058373,-0.068870,0.167745,-0.455050,-0.240370,0.346040,0.418945,0.351019,-0.412332
0.320000,0.028535,-0.077708,-0.039713,0.059259,0.072951,0.060140,-0.070945,0.170017,-0.461122,-0.243988,0.350606,0.424103,0.355642,-0.417670
0.325000,0.029391,-0.080029,-0.040942,0.061023,0.075085,0.061930,-0.073046,0.172277,-0.467158,-0.247599,0.355144,0.429213,0.360236,-0.422971
0.330000,0.030258,-0.082379,-0.042189,0.062810,0.077243,0.063742,-0.075174,0.174525,-0.473159,-0.251204,0.359652,0.434277,0.364800,-0.428234
0.335000,0.031136,-0.084760,-0.043454,0.064620,0.079427,0.065578,-0.077329,0.176760,-0.479123,-0.254803,0.364132,0.439295,0.369334,-0.433460
0.340000,0.032026,-0.087171,-0.044737,0.066451,0.081636,0.067436,-0.079509,0.178984,-0.485051,-0.258396,0.368582,0.444265,0.373839,-0.438648
0.345000,0.032926,-0.089611,-0.046038,0.068305,0.083870,0.069316,-0.081715,0.181195,-0.490943,-0.261982,0.373004,0.449189,0.378314,-0.443798
0.350000,0.033837,-0.092080,-0.047357,0.070181,0.086128,0.071219,-0.083947,0.183394,-0.496800,-0.265563,0.377397,0.454067,0.382759,-0.448910
0.355000,0.034760,-0.094578,-0.048694,0.072079,0.088410,0.073144,-0.086204,0.185581,-0.502620,-0.269137,0.381760,0.458898,0.387175,-0.453985
0.360000,0.035693,-0.097106,-0.050049,0.073999,0.090717,0.075091,-0.088487,0.187755,-0.508405,-0.272705,0.386095,0.463682,0.391561,-0.459022
0.365000,0.036637,-0.099662,-0.051421,0.075940,0.093047,0.077059,-0.090794,0.189918,-0.514153,-0.276267,0.390401,0.468419,0.395918,-0.464022
0.370000,0.037592,-0.102248,-0.052811,0.077903,0.095401,0.079050,-0.093127,0.192068,-0.519866,-0.279822,0.394678,0.473110,0.400245,-0.468983
0.375000,0.038558,-0.104861,-0.054219,0.079887,0.097778,0.081062,-0.095484,0.194206,-0.525542,-0.283372,0.398926,0.477754,0.404542,-0.473907
0.380000,0.039534,-0.107503,-0.055645,0.081892,0.100178,0.083095,-0.097866,0.196332,-0.531183,-0.286915,0.403145,0.482352,0.408809,-0.478793
0.385000,0.040521,-0.110173,-0.057088,0.083918,0.102602,0.085150,-0.100272,0.198445,-0.536787,-0.290452,0.407335,0.486903,0.413047,-0.483642
0.390000,0.041519,-0.112871,-0.058550,0.085965,0.105047,0.087225,-0.102702,0.200547,-0.542356,-0.293983,0.411496,0.491407,0.417256,-0.488453
0.395000,0.042527,-0.115596,-0.060028,0.088033,0.107516,0.089322,-0.105156,0.202636,-0.547889,-0.297508,0.415628,0.495865,0.421434,-0.493226
0.400000,0.043545,-0.118350,-0.061525,0.090122,0.110006,0.091440,-0.107634,0.204713,-0.553385,-0.301026,0.419731,0.500276,0.425583,-0.497962
0.405000,0.044574,-0.121130,-0.063039,0.092231,0.112518,0.093578,-0.110136,0.206778,-0.558846,-0.304539,0.423806,0.504640,0.429703,-0.502659
0.410000,0.045613,-0.123938,-0.064570,0.094360,0.115052,0.095737,-0.112661,0.208831,-0.564271,-0.308045,0.427851,0.508958,0.433793,-0.507319
0.415000,0.046662,-0.126773,-0.066119,0.096509,0.117608,0.097916,-0.115209,0.210871,-0.569660,-0.311545,0.431867,0.513229,0.437853,-0.511942
0.420000,0.047722,-0.129634,-0.067685,0.098678,0.120185,0.100115,-0.117780,0.212899,-0.575013,-0.315039,0.435855,0.517453,0.441883,-0.516527
0.425000,0.048791,-0.132523,-0.069269,0.100868,0.122782,0.102335,-0.120374,0.214915,-0.580330,-0.318526,0.439813,0.521631,0.445884,-0.521074
0.430000,0.049871,-0.135438,-0.070871,0.103076,0.125401,0.104574,-0.122991,0.216919,-0.585610,-0.322008,0.443743,0.525762,0.449855,-0.525583
0.435000,0.050960,-0.138379,-0.072489,0.105305,0.128040,0.106833,-0.125630,0.218911,-0.590855,-0.325483,0.447643,0.529846,0.453797,-0.530055
0.440000,0.052060,-0.141346,-0.074125,0.107553,0.130699,0.109112,-0.128291,0.220890,-0.596064,-0.328952,0.451515,0.533884,0.457709,-0.534488
0.445000,0.053169,-0.144339,-0.075779,0.109820,0.133379,0.111410,-0.130975,0.222857,-0.601237,-0.332415,0.455358,0.537875,0.461591,-0.538885
0.450000,0.054288,-0.147359,-0.077450,0.112106,0.136078,0.113728,-0.133680,0.224812,-0.606375,-0.335872,0.459172,0.541820,0.465444,-0.543243
0.455000,0.055417,-0.150403,-0.079138,0.114412,0.138797,0.116065,-0.136407,0.226755,-0.611476,-0.339322,0.462956,0.545718,0.469267,-0.547564
0.460000,0.056556,-0.153473,-0.080843,0.116736,0.141535,0.118420,-0.139156,0.228686,-0.616541,-0.342767,0.466712,0.549569,0.473060,-0.551847
0.465000,0.057704,-0.156568,-0.082565,0.119079,0.144292,0.120795,-0.141926,0.230604,-0.621570,-0.346205,0.470439,0.553374,0.476824,-0.556093
